frame_number;seconds;resolution
1255;50.2;640x480
1256;50.24;640x480
1257;50.28;640x480
1258;50.32;640x480
1259;50.36;640x480
1260;50.4;640x480
1261;50.44;640x480
1262;50.48;640x480
1263;50.52;640x480
1264;50.56;640x480
1265;50.6;640x480
1266;50.64;640x480
1267;50.68;640x480
1268;50.72;640x480
1269;50.76;640x480
1270;50.8;640x480
1271;50.84;640x480
1272;50.88;640x480
1273;50.92;640x480
1274;50.96;640x480
1275;51;640x480
1276;51.04;640x480
1277;51.08;640x480
1278;51.12;640x480
1279;51.16;640x480
1280;51.2;640x480
1281;51.24;640x480
1282;51.28;640x480
1283;51.32;640x480
1284;51.36;640x480
1285;51.4;640x480
1286;51.44;640x480
1287;51.48;640x480
1288;51.52;640x480
1289;51.56;640x480
1290;51.6;640x480
1291;51.64;640x480
1292;51.68;640x480
1293;51.72;640x480
1294;51.76;640x480
1295;51.8;640x480
1296;51.84;640x480
1297;51.88;640x480
1298;51.92;640x480
1299;51.96;640x480
1300;52;640x480
1301;52.04;640x480
1302;52.08;640x480
1303;52.12;640x480
1304;52.16;640x480
1305;52.2;640x480
1306;52.24;640x480
1307;52.28;640x480
1308;52.32;640x480
1309;52.36;640x480
1310;52.4;640x480
1311;52.44;640x480
1312;52.48;640x480
1313;52.52;640x480
1314;52.56;640x480
1315;52.6;640x480
1316;52.64;640x480
1317;52.68;640x480
1318;52.72;640x480
1319;52.76;640x480
1320;52.8;640x480
1321;52.84;640x480
1322;52.88;640x480
1323;52.92;640x480
1324;52.96;640x480
1325;53;640x480
1326;53.04;640x480
1327;53.08;640x480
1328;53.12;640x480
1329;53.16;640x480
1330;53.2;640x480
1331;53.24;640x480
1332;53.28;640x480
1333;53.32;640x480
1334;53.36;640x480
1335;53.4;640x480
1336;53.44;640x480
1337;53.48;640x480
1338;53.52;640x480
1339;53.56;640x480
1340;53.6;640x480
1341;53.64;640x480
1342;53.68;640x480
1343;53.72;640x480
1344;53.76;640x480
1345;53.8;640x480
1346;53.84;640x480
1347;53.88;640x480
1348;53.92;640x480
1349;53.96;640x480
1350;54;640x480
1351;54.04;640x480
1352;54.08;640x480
1353;54.12;640x480
1354;54.16;640x480
1355;54.2;640x480
1356;54.24;640x480
1357;54.28;640x480
1358;54.32;640x480
1359;54.36;640x480
